Verb,Gerund
abandonar,abandonando
abordar,abordando
abortar,abortando
abrazar,abrazando
abrir,abriendo
aburrir,aburriendo
aburrirse,aburriéndose
abusar,abusando
acabar,acabando
acampar,acampando
aceptar,aceptando
acercar,acercando
acercarse,acercándose
acompañar,acompañando
aconsejar,aconsejando
acontecer,aconteciendo
acordar,acordando
acordarse,acordándose
acortar,acortando
acostar,acostando
acostarse,acostándose
acostumbrar,acostumbrando
acostumbrarse,acostumbrándose
actuar,actuando
adivinar,adivinando
admirar,admirando
admitir,admitiendo
adorar,adorando
adornar,adornando
advertir,advirtiendo
afeitar,afeitando
afeitarse,afeitándose
afirmar,afirmando
afligir,afligiendo
agorar,agorando
agradar,agradando
agradecer,agradeciendo
aguantar,aguantando
ahorcar,ahorcando
ahorrar,ahorrando
alcanzar,alcanzando
alegrar,alegrando
alegrarse,alegrándose
alentar,alentando
aliviar,aliviando
almorzar,almorzando
alquilar,alquilando
amanecer,amaneciendo
amar,amando
amenazar,amenazando
añadir,añadiendo
andar,andando
anhelar,anhelando
anunciar,anunciando
apagar,apagando
aparecer,apareciendo
aplaudir,aplaudiendo
aplicar,aplicando
apostar,apostando
apoyar,apoyando
apreciar,apreciando
aprender,aprendiendo
apretar,apretando
aprobar,aprobando
arreglar,arreglando
arrepentirse,arrepintiéndose
arrojar,arrojando
asistir,asistiendo
asociar,asociando
aspirar,aspirando
asustar,asustando
asustarse,asustándose
atacar,atacando
atender,atendiendo
atraer,atrayendo
atravesar,atravesando
atreverse,atreviéndose
aumentar,aumentando
avanzar,avanzando
averiguar,averiguando
avisar,avisando
ayudar,ayudando
bailar,bailando
bajar,bajando
bañar,bañando
bañarse,bañándose
barrer,barriendo
batir,batiendo
bautizar,bautizando
beber,bebiendo
bendecir,bendiciendo
besar,besando
bordar,bordando
borrar,borrando
brillar,brillando
brindar,brindando
broncearse,bronceándose
bucear,buceando
burlar,burlando
burlarse,burlándose
buscar,buscando
caber,cabiendo
caer,cayendo
calcular,calculando
calentar,calentando
calentarse,calentándose
callar,callando
callarse,callándose
calmar,calmando
calmarse,calmándose
caminar,caminando
cancelar,cancelando
cansar,cansando
cansarse,cansándose
caracterizar,caracterizando
cargar,cargando
casar,casando
casarse,casándose
castigar,castigando
causar,causando
cazar,cazando
celebrar,celebrando
cenar,cenando
censurar,censurando
cepillar,cepillando
cerrar,cerrando
cesar,cesando
charlar,charlando
chismear,chismeando
chocar,chocando
civilizar,civilizando
clarificar,clarificando
clasificar,clasificando
cobrar,cobrando
cocinar,cocinando
coger,cogiendo
colgar,colgando
colocar,colocando
colonizar,colonizando
combatir,combatiendo
comenzar,comenzando
comer,comiendo
compartir,compartiendo
competir,compitiendo
componer,componiendo
comprar,comprando
comprender,comprendiendo
comunicar,comunicando
comunicarse,comunicándose
condenar,condenando
conducir,conduciendo
confesar,confesando
confiar,confiando
confirmar,confirmando
confiscar,confiscando
conjugar,conjugando
conocer,conociendo
conquistar,conquistando
conseguir,consiguiendo
consentir,consintiendo
conservar,conservando
consistir,consistiendo
constituir,constituyendo
construir,construyendo
consumir,consumiendo
contaminar,contaminando
contar,contando
contener,conteniendo
contestar,contestando
continuar,continuando
contribuir,contribuyendo
controlar,controlando
convencer,convenciendo
convenir,conviniendo
conversar,conversando
convertir,convirtiendo
convidar,convidando
copiar,copiando
corregir,corrigiendo
correr,corriendo
cortar,cortando
coser,cosiendo
costar,costando
crear,creando
crecer,creciendo
creer,creyendo
criar,criando
criarse,criándose
criticar,criticando
crucificar,crucificando
cruzar,cruzando
cubrir,cubriendo
cuidar,cuidando
culpar,culpando
cultivar,cultivando
cumplir,cumpliendo
curar,curando
dar,dando
deber,debiendo
decidir,decidiendo
decidirse,decidiéndose
decir,diciendo
declarar,declarando
decorar,decorando
dedicar,dedicando
dedicarse,dedicándose
defender,defendiendo
dejar,dejando
demostrar,demostrando
depender,dependiendo
depositar,depositando
deprimir,deprimiendo
derretir,derritiendo
desagradar,desagradando
desagradecer,desagradeciendo
desaparecer,desapareciendo
desarrollar,desarrollando
desarrollarse,desarrollándose
desayunar,desayunando
descansar,descansando
descender,descendiendo
describir,describiendo
descubrir,descubriendo
desear,deseando
deshacer,deshaciendo
despedir,despidiendo
despertar,despertando
despertarse,despertándose
destruir,destruyendo
detener,deteniendo
detenerse,deteniéndose
detestar,detestando
devolver,devolviendo
devorar,devorando
dibujar,dibujando
dirigir,dirigiendo
diseñar,diseñando
disfrutar,disfrutando
disgustar,disgustando
disminuir,disminuyendo
distinguir,distinguiendo
distribuir,distribuyendo
divertir,divirtiendo
divertirse,divirtiéndose
divorciar,divorciando
divorciarse,divorciándose
doblar,doblando
doler,doliendo
dormir,durmiendo
dormirse,durmiéndose
duchar,duchando
ducharse,duchándose
dudar,dudando
durar,durando
echar,echando
echarse,echándose
educar,educando
efectuar,efectuando
ejercer,ejerciendo
elegir,eligiendo
eliminar,eliminando
emborrachar,emborrachando
emborracharse,emborrachándose
emigrar,emigrando
empezar,empezando
emplear,empleando
enamorar,enamorando
enamorarse,enamorándose
encantar,encantando
encender,encendiendo
encontrar,encontrando
enfadar,enfadando
enfadarse,enfadándose
enfermar,enfermando
enfermarse,enfermándose
enflaquecer,enflaqueciendo
enflaquecerse,enflaqueciéndose
engañar,engañando
enojar,enojando
enojarse,enojándose
enriquecer,enriqueciendo
enriquecerse,enriqueciéndose
enseñar,enseñando
ensuciar,ensuciando
entender,entendiendo
enterarse,enterándose
entrar,entrando
entregar,entregando
entretener,entreteniendo
entrevistar,entrevistando
entusiasmar,entusiasmando
entusiasmarse,entusiasmándose
envejecer,envejeciendo
envejecerse,envejeciéndose
enviar,enviando
equivocar,equivocando
equivocarse,equivocándose
errar,errando
escoger,escogiendo
esconder,escondiendo
esconderse,escondiéndose
escribir,escribiendo
escuchar,escuchando
esperar,esperando
esquiar,esquiando
establecer,estableciendo
estar,estando
estimar,estimando
estudiar,estudiando
evacuar,evacuando
evitar,evitando
exhibir,exhibiendo
exigir,exigiendo
explicar,explicando
explorar,explorando
explotar,explotando
exponer,exponiendo
exportar,exportando
expresar,expresando
extender,extendiendo
extinguir,extinguiendo
fabricar,fabricando
faltar,faltando
fascinar,fascinando
felicitar,felicitando
fijar,fijando
fingir,fingiendo
firmar,firmando
florecer,floreciendo
formar,formando
fortalecer,fortaleciendo
freír,friendo
fumar,fumando
funcionar,funcionando
ganar,ganando
gastar,gastando
generalizar,generalizando
glorificar,glorificando
gobernar,gobernando
graduar,graduando
graduarse,graduándose
gritar,gritando
gruñir,gruñendo
guardar,guardando
guiar,guiando
gustar,gustando
hablar,hablando
hacer,haciendo
hallar,hallando
hallarse,hallándose
helar,helando
heredar,heredando
herir,hiriendo
hervir,hirviendo
huir,huyendo
ilustrar,ilustrando
importar,importando
imprimir,imprimiendo
incluir,incluyendo
indicar,indicando
inducir,induciendo
influir,influyendo
informar,informando
iniciar,iniciando
inmigrar,inmigrando
insistir,insistiendo
instalar,instalando
insultar,insultando
intentar,intentando
interesar,interesando
interpretar,interpretando
introducir,introduciendo
invadir,invadiendo
inventar,inventando
invertir,invirtiendo
investigar,investigando
invitar,invitando
invocar,invocando
ir,yendo
irse,yéndose
jactarse,jactándose
jugar,jugando
juntar,juntando
juntarse,juntándose
jurar,jurando
ladrar,ladrando
lamentar,lamentando
lanzar,lanzando
lastimar,lastimando
lavar,lavando
lavarse,lavándose
leer,leyendo
legalizar,legalizando
levantar,levantando
levantarse,levantándose
limpiar,limpiando
llamar,llamando
llamarse,llamándose
llegar,llegando
llenar,llenando
llevar,llevando
llorar,llorando
llover,lloviendo
lograr,logrando
luchar,luchando
madurar,madurando
mandar,mandando
manejar,manejando
mantener,manteniendo
maquillar,maquillando
maquillarse,maquillándose
marcar,marcando
masticar,masticando
matar,matando
matricular,matriculando
matricularse,matriculándose
medir,midiendo
mentir,mintiendo
merecer,mereciendo
merendar,merendando
meter,metiendo
mezclar,mezclando
mirar,mirando
modificar,modificando
molestar,molestando
montar,montando
morir,muriendo
mostrar,mostrando
mover,moviendo
moverse,moviéndose
mudar,mudando
mudarse,mudándose
nacer,naciendo
nadar,nadando
navegar,navegando
necesitar,necesitando
negar,negando
negarse,negándose
negociar,negociando
nevar,nevando
notar,notando
obedecer,obedeciendo
obligar,obligando
obtener,obteniendo
ocurrir,ocurriendo
odiar,odiando
ofender,ofendiendo
ofrecer,ofreciendo
oír,oyendo
oler,oliendo
olvidar,olvidando
olvidarse,olvidándose
oponer,oponiendo
oponerse,oponiéndose
