infinitive,tu,usted,ustedes,vosotros,nosotros
abandonar,abandona,abandone,abandonen,abandonad,abandonemos
abordar,aborda,aborde,aborden,abordad,abordemos
abortar,aborta,aborte,aborten,abortad,abortemos
abrazar,abraza,abrace,abracen,abrazad,abracemos
abrir,abre,abra,abran,abrid,abramos
aburrir,aburre,aburra,aburran,aburrid,aburramos
aburrirse,abúrrete,abúrrase,abúrranse,aburríos,aburrámonos
abusar,abusa,abuse,abusen,abusad,abusemos
acabar,acaba,acabe,acaben,acabad,acabemos
acampar,acampa,acampe,acampen,acampad,acampemos
aceptar,acepta,acepte,acepten,aceptad,aceptemos
acercar,acerca,acerque,acerquen,acercad,acercquemos
acercarse,acércate,acérquese,acérquense,acercaos,acercquemos
acompañar,acompaña,acompañe,acompañen,acompañad,acompañemos
aconsejar,aconseja,aconseje,aconsejen,aconsejad,aconsejemos
acontecer,acontece,acontezca,acontezcan,aconteced,acontezcamos
acordar,acuerda,acuerde,acuerden,acordad,acordemos
acordarse,acuérdate,acuérdese,acuérdense,acordaos,acordémonos
acortar,acorta,acorte,acorten,acortad,acortemos
acostar,acuesta,acueste,acuesten,acostad,acostemos
acostarse,acuéstate,acuéstese,acuéstense,acostaos,acostémonos
acostumbrar,acostumbra,acostumbre,acostumbren,acostumbrad,acostumbremos
acostumbrarse,acostúmbrate,acostúmbrese,acostúmbrense,acostumbraos,acostumbrémonos
actuar,actúa,actúe,actúen,actuad,actuemos
adivinar,adivina,adivine,adivinen,adivinad,adivenemos
admirar,admira,admire,admiren,admirad,admiremos
admitir,admite,admita,admitan,admitid,admitamos
adorar,adora,adore,adoren,adorad,adoremos
adornar,adorna,adorne,adornen,adornad,adornemos
advertir,advierte,advierta,adviertan,advertid,advirtamos
afeitar,afeita,afeite,afeiten,afeitad,afeitemos
afeitarse,aféitate,aféitese,aféitense,afeitaos,afeitémonos
afirmar,afirma,afirme,afirmen,afirmad,afirmemos
afligir,aflige,aflija,aflijan,afligid,aflijamos
agorar,agüera,agüere,agüeren,agorad,agoremos
agradar,agrada,agrade,agraden,agradad,agrademos
agradecer,agradece,agradezca,agradezcan,agradeced,agradezcamos
aguantar,aguanta,aguante,aguanten,aguantad,aguantemos
ahorcar,ahorca,ahorque,ahorquen,ahorcad,ahorquemos
ahorrar,ahorra,ahorre,ahorren,ahorrad,ahorremos
alcanzar,alcanza,alcance,alcancen,alcanzad,alcancemos
alegrar,alegra,alegre,alegren,alegrad,alegremos
alegrarse,alégrate,alégrese,alégrense,alegraos,alegrémonos
alentar,alienta,aliente,alienten,alentad,
aliviar,alivia,alivie,alivien,aliviad,
almorzar,almuerza,almuerce,almuercen,almorzad,
alquilar,alquila,alquile,alquilen,alquilad,
amanecer,amanece,amanezca,amanezcan,amaneced,
amar,ama,ame,amen,amad,
amenazar,amenaza,amenace,amenacen,amenazad,
andar,anda,ande,anden,andad,
anhelar,anhela,anhele,anhelen,anhelad,
anunciar,anuncia,anuncie,anuncien,anunciad,
añadir,añade,añada,añadan,añadid,
apagar,apaga,apague,apaguen,apagad,
aparecer,aparece,aparezca,aparezcan,apareced,
aplaudir,aplaude,aplauda,aplaudan,aplaudid,
aplicar,aplica,aplique,apliquen,aplicad,
apostar,apuesta,apueste,apuesten,apostad,
apoyar,apoya,apoye,apoyen,apoyad,
apreciar,aprecia,aprecie,aprecien,apreciad,
aprender,aprende,aprenda,aprendan,aprended,
apretar,aprieta,apriete,aprieten,apretad,
aprobar,aprueba,apruebe,aprueben,aprobad,
arreglar,arregla,arregle,arreglen,arreglad,
arrepentirse,arrepiéntete,arrepiéntase,arrepiéntanse,arrepentíos,
arrojar,arroja,arroje,arrojen,arrojad,
asistir,asiste,asista,asistan,asistid,
asociar,asocia,asocie,asocien,asociad,
aspirar,aspira,aspire,aspiren,aspirad,
asustar,asusta,asuste,asusten,asustad,
asustarse,asústate,asústese,asústense,asustaos,
atacar,ataca,ataque,ataquen,atacad,
atender,atiende,atienda,atiendan,atended,
atraer,atrae,atraiga,atraigan,atraed,
atravesar,atraviesa,atraviese,atraviesen,atravesad,
atreverse,atrévete,atrévase,atrévanse,atreveos,
aumentar,aumenta,aumente,aumenten,aumentad,
burlarse,búrlate,búrlese,búrlense,burlaos,
avanzar,avanza,avance,avancen,avanzad,
averiguar,averigua,averigüe,averigüen,averiguad,
avisar,avisa,avise,avisen,avisad,
ayudar,ayuda,ayude,ayuden,ayudad,
bajar,baja,baje,bajen,bajad,
bañar,baña,bañe,bañen,bañad,
bañarse,báñate,báñese,báñense,bañaos,
barrer,barre,barra,barran,barred,
castigar,castiga,castigue,castiguen,castigad,
batir,bate,bata,batan,batid,
bautizar,bautiza,bautice,bauticen,bautizad,
beber,bebe,beba,beban,bebed,
bendecir,bendice,bendiga,bendigan,bendecid,
bordar,borda,borde,borden,bordad,
borrar,borra,borre,borren,borrad,
brillar,brilla,brille,brillen,brillad,
brindar,brinda,brinde,brinden,brindad,
broncearse,broncéate,broncéese,broncéense,bronceaos,
bucear,bucea,bucee,buceen,bucead,
burlar,burla,burle,burlen,burlad,
buscar,busca,busque,busquen,buscad,
caber,cabe,quepa,quepan,cabed,
caer,cae,caiga,caigan,caed,
calcular,calcula,calcule,calculen,calculad,
calentar,calienta,caliente,calienten,calentad,
calentarse,caliéntate,caliéntese,caliéntense,calentaos,
callar,calla,calle,callen,callad,
callarse,cállate,cállese,cállense,callaos,
calmar,calma,calme,calmen,calmad,
calmarse,cálmate,cálmese,cálmense,calmaos,
caminar,camina,camine,caminen,caminad,
cancelar,cancela,cancele,cancelen,cancelad,
cansar,cansa,canse,cansen,cansad,
cansarse,cánsate,cánsese,cánsense,cansaos,
caracterizar,caracteriza,caracterice,caractericen,caracterizad,
cargar,carga,cargue,carguen,cargad,
casar,casa,case,casen,casad,
casarse,cásate,cásese,cásense,casaos,
causar,causa,cause,causen,causad,
cazar,caza,cace,cacen,cazad,
celebrar,celebra,celebre,celebren,celebrad,
cenar,cena,cene,cenen,cenad,
censurar,censura,censure,censuren,censurad,
cepillar,cepilla,cepille,cepillen,cepillad,
cerrar,cierra,cierre,cierren,cerrad,
cesar,cesa,cese,cesen,cesad,
charlar,charla,charle,charlen,charlad,
chismear,chismea,chismee,chismeen,chismead,
chocar,choca,choque,choquen,chocad,
civilizar,civiliza,civilice,civilicen,civilizad,
clarificar,clarifica,clarifique,clarifiquen,clarificad,
clasificar,clasifica,clasifique,clasifiquen,clasificad,
cobrar,cobra,cobre,cobren,cobrad,
cocinar,cocina,cocine,cocinen,cocinad,
coger,coge,coja,cojan,coged,
colgar,cuelga,cuelgue,cuelguen,colgad,
colocar,coloca,coloque,coloquen,colocad,
colonizar,coloniza,colonice,colonicen,colonizad,
combatir,combate,combata,combatan,combatid,
comenzar,comienza,comience,comiencen,comenzad,
comer,come,coma,coman,comed,
competir,compite,compita,compitan,competid,
componer,compón,componga,compongan,componed,
comprar,compra,compre,compren,comprad,
comprender,comprende,comprenda,comprendan,comprended,
comunicar,comunica,comunique,comuniquen,comunicad,
comunicarse,comunícate,comuníquese,comuníquense,comunicaos,
condenar,condena,condene,condenen,condenad,
conducir,conduce,conduzca,conduzcan,conducid,
confesar,confiesa,confiese,confiesen,confesad,
confiar,confía,confíe,confíen,confiad,
confirmar,confirma,confirme,confirmen,confirmad,
compartir,comparte,comparta,compartan,compartid,
confiscar,confisca,confisque,confisquen,confiscad,
conjugar,conjuga,conjugue,conjuguen,conjugad,
conocer,conoce,conozca,conozcan,conoced,
conquistar,conquista,conquiste,conquisten,conquistad,
conseguir,consigue,consiga,consigan,conseguid,
consentir,consiente,consienta,consientan,consentid,
conservar,conserva,conserve,conserven,conservad,
consistir,consiste,consista,consistan,consistid,
constituir,constituye,constituya,constituyan,constituid,
construir,construye,construya,construyan,construid,
consumir,consume,consuma,consuman,consumid,
contaminar,contamina,contamine,contaminen,contaminad,
contar,cuenta,cuente,cuenten,contad,
contener,contén,contenga,contengan,contened,
contestar,contesta,conteste,contesten,contestad,
continuar,continúa,continúe,continúen,continuad,
contribuir,contribuye,contribuya,contribuyan,contribuid,
controlar,controla,controle,controlen,controlad,
convencer,convence,convenza,convenzan,convenced,
convenir,convén,convenga,convengan,convenid,
conversar,conversa,converse,conversen,conversad,
convertir,convierte,convierta,conviertan,convertid,
convidar,convida,convide,conviden,convidad,
copiar,copia,copie,copien,copiad,
corregir,corrige,corrija,corrijan,corregid,
correr,corre,corra,corran,corred,
cortar,corta,corte,corten,cortad,
coser,cose,cosa,cosan,cosed,
costar,cuesta,cueste,cuesten,costad,
crear,crea,cree,creen,cread,
crecer,crece,crezca,crezcan,creced,
creer,cree,crea,crean,creed,
criar,cría,críe,críen,criad,
criarse,críate,críese,críense,criaos,
criticar,critica,critique,critiquen,criticad,
crucificar,crucifica,crucifique,crucifiquen,crucificad,
cruzar,cruza,cruce,crucen,cruzad,
cubrir,cubre,cubra,cubran,cubrid,
cuidar,cuida,cuide,cuiden,cuidad,
culpar,culpa,culpe,culpen,culpad,
cultivar,cultiva,cultive,cultiven,cultivad,
cumplir,cumple,cumpla,cumplan,cumplid,
curar,cura,cure,curen,curad,
dar,da,dé,den,dad,
deber,debe,deba,deban,debed,
decidir,decide,decida,decidan,decidid,
decidirse,decídete,decídase,decídanse,decidíos,
decir,di,diga,digan,decid,
declarar,declara,declare,declaren,declarad,
decorar,decora,decore,decoren,decorad,
dedicar,dedica,dedique,dediquen,dedicad,
dedicarse,dedícate,dedíquese,dedíquense,dedicaos,
defender,defiende,defienda,defiendan,defended,
dejar,deja,deje,dejen,dejad,
demostrar,demuestra,demuestre,demuestren,demostrad,
depender,depende,dependa,dependan,depended,
depositar,deposita,deposite,depositen,depositad,
deprimir,deprime,deprima,depriman,deprimid,
derretir,derrite,derrita,derritan,derretid,
desagradar,desagrada,desagrade,desagraden,desagradad,
desagradecer,desagradece,desagradezca,desagradezcan,desagradeced,
desaparecer,desaparece,desaparezca,desaparezcan,desapareced,
desayunar,desayuna,desayune,desayunen,desayunad,
descansar,descansa,descanse,descansen,descansad,
descender,desciende,descienda,desciendan,descended,
describir,describe,describa,describan,describid,
descubrir,descubre,descubra,descubran,descubrid,
desarrollar,desarrolla,desarrolle,desarrollen,desarrollad,
desarrollarse,desarróllate,desarróllese,desarróllense,desarrollaos,
desear,desea,desee,deseen,desead,
deshacer,deshaz,deshaga,deshagan,deshaced,
despedir,despide,despida,despidan,despedid,
despertar,despierta,despierte,despierten,despertad,
despertarse,despiértate,despiértese,despiértense,despertaos,
destruir,destruye,destruya,destruyan,destruid,
detener,detén,detenga,detengan,detened,
detenerse,detente,deténgase,deténganse,deteneos,
detestar,detesta,deteste,detesten,detestad,
devolver,devuelve,devuelva,devuelvan,devolved,
devorar,devora,devore,devoren,devorad,
dibujar,dibuja,dibuje,dibujen,dibujad,
dirigir,dirige,dirija,dirijan,dirigid,
diseñar,diseña,diseñe,diseñen,diseñad,
disfrutar,disfruta,disfrute,disfruten,disfrutad,
disgustar,disgusta,disguste,disgusten,disgustad,
disminuir,disminuye,disminuya,disminuyan,disminuid,
